Rank,Topic ID,Image Count,Percentage,Representative Keywords
1,0,1024,2.90%,"pen, telephone, supplies, cluttered, writing"
2,1,598,1.69%,"rifles, tent, rifle, caps, stretcher"
3,2,470,1.33%,"meeting, conference, discussion, documents, signing"
4,3,353,1.00%,"glove, action, throwing, pitch, leg"
5,4,337,0.95%,"younger, older, faces, expressions, cigarette"
6,5,261,0.74%,"yard, shutters, driveway, chimney, manicured"
7,6,238,0.67%,"sliding, home, batter, catch, crouched"
8,7,232,0.66%,"signing, map, document, coming, lockers"
9,8,225,0.64%,"doormat, apples, younger, glass, argyle"
10,9,222,0.63%,"pedimented, facade, domes, pediment, levels"
